species,age,length
Sole,13,39
Sole,30,47
Sole,5,33
Sole,2,29
Sole,3,29
Sole,23,47
Sole,17,40
Sole,4,32
Sole,26,47
Sole,21,42
Sole,18,47
Sole,16,47
Sole,9,40
Sole,6,37
Sole,25,47
Sole,20,47
Sole,19,47
Sole,8,40
Sole,7,38
Sole,27,47
Sole,22,47
Sole,11,36
Sole,10,40
Sole,24,47
Sole,28,47
Sole,12,39
Sole,31,47
Sole,14,41
Sole,15,47
Sole,38,47
Sole,29,47
Whiting,4,42
Whiting,5,43
Whiting,6,50
Whiting,7,38
Whiting,2,31
Whiting,3,38
Cod,4,89
Cod,5,100
Cod,7,102
Cod,2,49
Cod,6,100
Cod,3,77
Cod,8,112
Haddock,6,66
Haddock,4,49
Haddock,2,37
Haddock,3,43
Haddock,5,58
Haddock,7,62
Haddock,8,62
Mackerel,5,36
Mackerel,2,30
Mackerel,3,31
Mackerel,4,34
Mackerel,1,29
Plaice,20,51
Plaice,7,41
Plaice,17,51
Plaice,19,46
Plaice,10,42
Plaice,15,49
Plaice,16,50
Plaice,11,41
Plaice,8,41
Plaice,4,39
Plaice,13,46
Plaice,18,51
Plaice,14,49
Plaice,21,51
Plaice,6,40
Plaice,27,52
Plaice,9,41
Plaice,12,44
Plaice,2,34
Plaice,3,36
Plaice,1,29
Plaice,5,40
Sole,28,50
Sole,6,37
Sole,11,41
Sole,14,42
Sole,10,42
Sole,26,47
Sole,24,47
Sole,23,47
Sole,2,27
Sole,15,47
Sole,27,47
Sole,30,47
Sole,7,39
Sole,19,47
Sole,18,50
Sole,17,42
Sole,9,42
Sole,8,40
Sole,29,47
Sole,5,32
Sole,4,30
Sole,20,47
Sole,16,47
Sole,3,28
Sole,31,47
Sole,13,42
Sole,12,41
Sole,21,43
Sole,22,47
Sole,38,47
Sole,25,47
Whiting,1,24
Whiting,7,51
Whiting,4,42
Whiting,6,50
Whiting,3,41
Whiting,2,31
Whiting,5,45
Mackerel,2,29
Mackerel,4,33
Mackerel,3,31
Mackerel,6,34
