species,age,length
Plaice,13,44
Plaice,1,30
Plaice,10,41
Plaice,6,39
Plaice,14,47
Plaice,7,39
Plaice,3,36
Plaice,2,32
Plaice,8,41
Plaice,12,42
Sole,19,33
Sole,16,38
Sole,22,40
Sole,8,38
Sole,6,37
Sole,10,38
Sole,2,28
Sole,17,38
Sole,4,35
Sole,25,40
Sole,21,40
Sole,7,38
Sole,11,38
Sole,9,38
Sole,12,38
Sole,13,38
Sole,14,38
Sole,15,40
Sole,26,39
Sole,20,36
Sole,24,39
Sole,5,37
Sole,3,35
Sole,18,40
Sole,16,46
Sole,8,39
Sole,28,46
Sole,26,46
Sole,25,46
Sole,27,46
Sole,29,46
Sole,30,46
Sole,4,30
Sole,3,28
Sole,22,46
Sole,6,36
Sole,2,27
Sole,23,46
Sole,5,32
Sole,24,46
Sole,12,40
Sole,21,42
Sole,19,46
Sole,9,40
Sole,18,46
Sole,15,46
Sole,17,40
Sole,20,46
Sole,10,40
Sole,11,39
Sole,7,39
Sole,14,41
Sole,13,40
Mackerel,0,18
Mackerel,7,40
Mackerel,4,35
Mackerel,3,32
Mackerel,2,30
Mackerel,13,41
Mackerel,5,36
Mackerel,8,38
Mackerel,1,27
Mackerel,12,39
Plaice,14,51
Plaice,8,42
Plaice,3,35
Plaice,15,50
Plaice,13,47
Plaice,20,53
Plaice,21,51
Plaice,16,52
Plaice,6,40
Plaice,17,52
Plaice,4,38
Plaice,5,39
Plaice,27,52
Plaice,11,42
Plaice,22,58
Plaice,18,54
Plaice,9,42
Plaice,25,56
Plaice,7,41
Plaice,19,47
Plaice,10,44
Plaice,2,32
Plaice,1,28
Plaice,12,45
Sole,3,29
Sole,4,30
Sole,6,37
Sole,21,46
Sole,20,49
Sole,23,47
Sole,18,47
Sole,17,44
Sole,19,49
Sole,22,47
Sole,25,47
Sole,24,47
Sole,16,49
Sole,26,49
Sole,29,47
Sole,28,47
Sole,27,47
Sole,31,47
Sole,5,32
Sole,30,47
Sole,1,22
Sole,7,39
Sole,38,47
Sole,15,47
Sole,9,42
Sole,13,44
Sole,10,43
Sole,14,42
Sole,11,41
Sole,12,43
Sole,8,40
Sole,2,27
Whiting,7,36
Whiting,5,41
Whiting,4,38
Whiting,3,36
Whiting,2,33
Whiting,1,29
Mackerel,3,32
Mackerel,8,38
Mackerel,2,30
Mackerel,7,40
Mackerel,4,35
Mackerel,12,39
Mackerel,9,43
Mackerel,5,36
Mackerel,1,27
Whiting,5,42
Whiting,2,33
Whiting,1,28
Whiting,7,36
Whiting,4,37
Whiting,3,36
Cod,1,38
Cod,2,49
Haddock,4,43
Haddock,2,37
Haddock,1,32
Haddock,3,43
Haddock,5,48
Haddock,6,61
Plaice,22,56
Plaice,21,51
Plaice,19,47
Plaice,9,42
Plaice,3,36
Plaice,6,40
Plaice,20,53
Plaice,25,56
Plaice,27,52
Plaice,10,43
Plaice,13,46
Plaice,18,53
Plaice,1,29
Plaice,11,42
Plaice,17,52
Plaice,4,39
Plaice,16,51
Plaice,12,45
Plaice,2,34
Plaice,14,49
Plaice,7,41
Plaice,5,39
Plaice,15,49
Plaice,8,42
Sole,2,27
Sole,16,47
Sole,28,47
Sole,6,37
Sole,9,42
Sole,24,47
Sole,17,42
Sole,27,47
Sole,10,42
Sole,13,42
Sole,23,47
Sole,38,47
Sole,3,28
Sole,31,47
Sole,30,47
Sole,29,47
Sole,11,41
Sole,8,40
Sole,21,43
Sole,22,47
Sole,12,41
Sole,18,47
Sole,15,47
Sole,7,39
Sole,5,32
Sole,25,47
Sole,14,42
Sole,26,47
Sole,19,47
Sole,20,47
Sole,4,30
Whiting,6,49
Whiting,7,40
Whiting,4,42
Whiting,3,39
Whiting,5,46
Whiting,1,29
Whiting,2,35
Plaice,6,41
Plaice,9,43
Plaice,7,42
Plaice,5,40
Plaice,16,52
Plaice,2,32
Plaice,22,56
Plaice,3,35
Plaice,17,53
Plaice,20,53
Plaice,27,52
Plaice,19,51
Plaice,18,53
Plaice,21,54
Plaice,14,51
Plaice,0,19
Plaice,25,56
Plaice,4,38
Plaice,8,43
Plaice,13,47
Plaice,1,28
Plaice,15,50
Plaice,10,44
Plaice,11,43
Plaice,12,46
Sole,30,48
Sole,28,49
Sole,22,49
Sole,6,38
Sole,27,49
Sole,26,49
Sole,24,49
Sole,7,39
Sole,9,42
Sole,21,46
Sole,31,50
Sole,25,49
Sole,23,49
Sole,10,44
Sole,8,40
Sole,5,32
Sole,4,30
Sole,36,50
Sole,32,50
Sole,29,47
Sole,3,28
Sole,2,27
Sole,20,49
Sole,17,45
Sole,11,43
Sole,38,47
Sole,12,43
Sole,13,44
Sole,14,45
Sole,19,49
Sole,15,49
Sole,16,49
Sole,18,49
Whiting,7,40
Whiting,4,41
Whiting,3,39
Whiting,5,44
Whiting,6,58
Whiting,2,34
Whiting,1,29
Plaice,18,54
Plaice,12,49
Plaice,11,45
Plaice,17,55
Plaice,10,46
Plaice,5,40
Plaice,8,44
Plaice,27,52
Plaice,1,28
Plaice,3,35
Plaice,19,54
Plaice,6,41
Plaice,25,56
Plaice,4,38
Plaice,2,33
Plaice,14,53
Plaice,13,50
Plaice,15,53
Plaice,22,58
Plaice,26,58
Plaice,21,57
Plaice,20,53
Plaice,7,43
Plaice,9,45
Plaice,16,55
Sole,23,49
Sole,6,38
Sole,7,39
Sole,18,51
Sole,19,49
Sole,10,45
Sole,13,46
Sole,5,34
Sole,20,50
Sole,21,48
Sole,8,40
Sole,9,42
Sole,11,43
Sole,14,45
Sole,15,50
Sole,4,30
Sole,17,45
Sole,38,47
Sole,12,45
Sole,2,27
Sole,16,50
Sole,26,49
Sole,28,49
Sole,29,47
Sole,22,50
Sole,24,49
Sole,3,28
Sole,27,49
Sole,32,50
Sole,36,50
Sole,30,49
Sole,31,51
Sole,25,50
Mackerel,9,38
Mackerel,7,37
Mackerel,4,32
Mackerel,5,35
Mackerel,6,36
Mackerel,3,32
Mackerel,2,32
Mackerel,11,39
Mackerel,10,37
Mackerel,8,35
Mackerel,0,38
Mackerel,1,31
Mackerel,12,38
Mackerel,7,35
Mackerel,10,37
Mackerel,11,39
Mackerel,3,30
Mackerel,0,28
Mackerel,12,38
Mackerel,1,25
Mackerel,6,36
Mackerel,2,28
Mackerel,8,35
Mackerel,9,38
Mackerel,5,33
Mackerel,4,32
Plaice,10,39
Plaice,6,37
Plaice,7,38
Plaice,3,34
Plaice,11,41
Plaice,9,38
Plaice,8,38
Plaice,2,33
Plaice,15,48
Plaice,1,29
Plaice,4,37
Plaice,14,39
Plaice,5,37
Plaice,13,45
Plaice,12,42
Plaice,16,38
Plaice,18,53
Sole,3,28
Sole,7,35
Sole,13,39
Sole,19,40
Sole,18,38
Sole,12,39
Sole,8,37
Sole,4,35
Sole,2,24
Sole,21,40
Sole,11,39
Sole,10,39
Sole,5,35
Sole,16,40
Sole,15,39
Sole,14,39
Sole,17,39
Sole,22,40
Sole,6,37
Sole,20,39
Sole,9,39
Whiting,2,35
Whiting,4,44
Whiting,3,39
Whiting,6,40
Whiting,5,47
Plaice,13,39
Plaice,14,40
Plaice,4,36
Plaice,8,36
Plaice,3,36
Plaice,16,38
Plaice,5,36
Plaice,10,36
Plaice,1,35
Plaice,2,35
Plaice,9,36
Plaice,11,37
Plaice,7,36
Plaice,12,37
Plaice,6,36
Sole,9,42
Sole,23,48
Sole,27,44
Sole,8,40
Sole,26,46
Sole,7,36
Sole,2,24
Sole,19,43
Sole,15,42
Sole,16,43
Sole,24,46
Sole,31,43
Sole,20,42
Sole,10,42
Sole,6,38
Sole,4,35
Sole,12,42
Sole,3,28
Sole,11,40
Sole,14,42
Sole,21,43
Sole,13,42
Sole,22,43
Sole,25,47
Sole,5,36
Sole,18,42
Sole,17,42
Haddock,6,55
Haddock,3,44
Haddock,7,59
Haddock,2,39
Haddock,5,52
Haddock,4,45
Plaice,3,33
Plaice,13,49
Plaice,9,40
Plaice,10,42
Plaice,12,45
Plaice,11,44
Plaice,14,43
Plaice,8,40
Plaice,16,46
Plaice,4,36
Plaice,6,37
Plaice,7,40
Plaice,5,38
Plaice,15,51
Plaice,18,53
Plaice,17,51
Plaice,2,32
Plaice,1,29
Sole,7,38
Sole,29,48
Sole,24,47
Sole,23,45
Sole,22,43
Sole,6,41
Sole,18,43
Sole,12,43
Sole,13,43
Sole,19,44
Sole,3,26
Sole,26,47
Sole,9,42
Sole,31,43
Sole,4,35
Sole,20,42
Sole,15,43
Sole,2,23
Sole,14,43
Sole,21,44
Sole,11,42
Sole,10,43
Sole,8,42
Sole,30,49
Sole,27,44
Sole,25,46
Sole,17,43
Sole,5,35
Sole,16,44
Whiting,2,36
Whiting,6,45
Whiting,4,45
Whiting,3,42
Whiting,5,46
Haddock,3,46
Haddock,4,45
Haddock,7,56
Haddock,6,52
Haddock,2,38
Haddock,5,51
Whiting,5,53
Whiting,6,53
Whiting,2,42
Whiting,7,61
Whiting,8,35
Whiting,3,46
Whiting,4,54
Cod,1,42
Cod,4,95
Cod,3,75
Cod,2,58
Cod,5,95
Sole,26,47
Sole,6,37
Sole,23,46
Sole,9,40
Sole,10,40
Sole,30,46
Sole,2,25
Sole,18,44
Sole,20,43
Sole,3,30
Sole,27,43
Sole,7,36
Sole,24,42
Sole,28,47
Sole,5,37
Sole,25,47
Sole,14,40
Sole,13,41
Sole,22,44
Sole,15,43
Sole,17,44
Sole,11,41
Sole,12,41
Sole,16,43
Sole,32,43
Sole,8,39
Sole,21,45
Sole,19,44
Sole,4,32
Cod,1,43
Cod,4,101
Cod,3,79
Cod,6,101
Cod,5,101
Cod,2,59
Cod,7,101
Haddock,3,48
Haddock,6,68
Haddock,2,41
Haddock,4,54
Haddock,7,61
Haddock,1,36
Haddock,5,55
Plaice,15,51
Plaice,6,40
Plaice,5,38
Plaice,17,50
Plaice,1,26
Plaice,10,45
Plaice,9,44
Plaice,3,34
Plaice,4,36
Plaice,2,31
Plaice,8,42
Plaice,11,47
Plaice,12,47
Plaice,7,42
Plaice,13,48
Plaice,14,51
Plaice,16,53
Sole,38,49
Sole,17,46
Sole,18,45
Sole,16,46
Sole,33,52
Sole,35,50
Sole,19,46
Sole,11,43
Sole,2,24
Sole,15,45
Sole,20,46
Sole,5,37
Sole,32,49
Sole,10,42
Sole,14,44
Sole,30,47
Sole,12,43
Sole,3,33
Sole,21,46
Sole,9,42
Sole,13,43
Sole,28,47
Sole,27,47
Sole,8,41
Sole,4,34
Sole,6,42
Sole,23,47
Sole,25,44
Sole,29,47
Sole,7,39
Sole,22,48
Sole,24,47
Sole,26,48
Whiting,2,39
Whiting,7,58
Whiting,3,44
Whiting,6,53
Whiting,4,49
Haddock,4,39
Haddock,5,40
Haddock,10,49
Haddock,1,31
Haddock,3,38
Haddock,7,47
Haddock,6,41
Haddock,8,45
Haddock,9,45
Haddock,2,33
Haddock,12,45
Whiting,5,34
Whiting,8,29
Whiting,2,30
Whiting,6,34
Whiting,9,31
Whiting,1,29
Whiting,3,33
Whiting,4,33
Whiting,7,34
Cod,1,39
Cod,2,50
Cod,3,58
Cod,4,54
Haddock,4,38
Haddock,1,30
Haddock,3,37
Haddock,7,49
Haddock,10,49
Haddock,2,32
Haddock,5,40
Haddock,6,41
Plaice,4,32
Plaice,2,32
Plaice,1,29
Plaice,3,32
Plaice,11,32
Plaice,12,32
Plaice,14,32
Plaice,5,32
Plaice,15,35
Plaice,16,33
Plaice,19,37
Plaice,17,32
Plaice,13,33
Plaice,10,32
Plaice,9,32
Plaice,8,33
Plaice,7,32
Plaice,6,32
Sole,2,23
Sole,10,23
Sole,9,28
Sole,1,23
Sole,8,29
Sole,7,26
Sole,6,29
Sole,5,30
Sole,4,27
Sole,3,26
Sole,11,23
Whiting,5,35
Whiting,3,32
Whiting,6,36
Whiting,11,41
Whiting,7,34
Whiting,2,28
Whiting,9,31
Whiting,4,33
Whiting,8,29
Whiting,1,27
Herring,9,24
Herring,6,26
Herring,7,26
Herring,3,24
Herring,2,22
Herring,4,25
Herring,8,28
Herring,5,26
Herring,1,20
Herring,2,21
Herring,3,23
Herring,4,24
Herring,9,24
Herring,7,26
Herring,8,28
Herring,6,27
Herring,5,26
Sole,7,32
Sole,5,31
Sole,13,40
Sole,20,39
Sole,19,41
Sole,17,41
Sole,16,40
Sole,15,39
Sole,12,40
Sole,8,35
Sole,10,38
Sole,9,38
Sole,14,39
Sole,2,24
Sole,3,28
Sole,11,40
Sole,6,38
Sole,4,30
Sole,4,29
Sole,10,35
Sole,5,31
Sole,8,35
Sole,9,34
Sole,3,28
Sole,6,34
Sole,7,32
Sole,2,25
Sole,6,34
Sole,4,28
Sole,3,28
Sole,2,24
Sole,8,35
Sole,5,29
Sole,10,35
Sole,9,34
Sole,7,32
Sole,8,38
Sole,11,39
Sole,12,42
Sole,15,39
Sole,20,39
Sole,2,25
Sole,3,28
Sole,13,39
Sole,14,39
Sole,4,31
Sole,5,33
Sole,7,33
Sole,10,37
Sole,9,39
Plaice,16,38
Plaice,6,35
Plaice,7,36
Plaice,2,29
Plaice,1,27
Plaice,4,32
Plaice,13,36
Plaice,3,31
Plaice,10,35
Plaice,15,40
Plaice,17,35
Plaice,12,35
Plaice,11,35
Plaice,8,35
Plaice,14,36
Plaice,9,36
Plaice,5,33
Sole,9,35
Sole,4,33
Sole,5,32
Sole,15,36
Sole,3,31
Sole,13,38
Sole,14,37
Sole,10,36
Sole,17,36
Sole,26,38
Sole,8,37
Sole,11,35
Sole,16,36
Sole,7,36
Sole,18,38
Sole,19,38
Sole,6,36
Sole,12,38
Sole,2,26
Plaice,7,39
Plaice,6,38
Plaice,3,36
Plaice,9,39
Plaice,11,39
Plaice,2,34
Plaice,4,36
Plaice,10,39
Plaice,15,42
Plaice,14,40
Plaice,13,40
Plaice,5,37
Plaice,17,44
Plaice,16,40
Plaice,12,39
Plaice,8,39
Sole,29,39
Sole,16,37
Sole,4,29
Sole,9,34
Sole,11,33
Sole,7,35
Sole,8,36
Sole,6,35
Sole,2,26
Sole,5,31
Sole,24,39
Sole,15,35
Sole,14,37
Sole,13,37
Sole,12,37
Sole,10,34
Sole,3,29
Plaice,7,39
Plaice,2,33
Plaice,1,30
Plaice,6,38
Plaice,9,39
Plaice,14,44
Plaice,15,44
Plaice,16,43
Plaice,17,42
Plaice,11,40
Plaice,12,40
Plaice,13,41
Plaice,10,39
Plaice,3,36
Plaice,4,36
Plaice,5,38
Plaice,8,39
Sole,5,38
Sole,22,42
Sole,25,40
Sole,19,40
Sole,20,38
Sole,11,42
Sole,17,40
Sole,18,49
Sole,6,38
Sole,7,40
Sole,8,40
Sole,9,40
Sole,12,42
Sole,13,40
Sole,14,40
Sole,15,42
Sole,16,38
Sole,2,28
Sole,3,35
Sole,10,40
Sole,21,42
Sole,4,33
Mackerel,4,30
Mackerel,0,22
Mackerel,2,29
Mackerel,6,34
Mackerel,7,34
Mackerel,8,34
Mackerel,5,22
Mackerel,3,30
Mackerel,1,27
Plaice,3,36
Plaice,2,33
Plaice,12,41
Plaice,10,40
Plaice,6,39
Plaice,14,45
Plaice,15,46
Plaice,16,43
Plaice,17,46
Plaice,9,39
Plaice,11,40
Plaice,5,38
Plaice,7,39
Plaice,8,39
Plaice,13,42
Plaice,1,30
Plaice,4,36
Sole,14,39
Sole,13,39
Sole,12,40
Sole,11,39
Sole,26,39
Sole,25,40
Sole,21,42
Sole,20,38
Sole,19,38
Sole,18,41
Sole,17,39
Sole,16,39
Sole,24,39
Sole,22,42
Sole,7,39
Sole,6,36
Sole,5,34
Sole,4,33
Sole,3,32
Sole,2,26
Sole,1,23
Sole,8,39
Sole,15,41
Sole,10,39
Sole,9,36
Plaice,3,33
Plaice,16,37
Plaice,15,37
Plaice,1,30
Plaice,2,32
Plaice,7,33
Plaice,9,33
Plaice,17,36
Plaice,14,38
Plaice,11,34
Plaice,8,33
Plaice,6,33
Plaice,10,34
Plaice,5,33
Plaice,4,33
Plaice,12,35
Plaice,13,35
Sole,9,33
Sole,16,33
Sole,14,33
Sole,10,33
Sole,6,32
Sole,5,32
Sole,20,33
Sole,8,33
Sole,19,33
Sole,17,33
Sole,4,31
Sole,3,30
Sole,7,33
Sole,11,33
Sole,2,28
Sole,13,33
Sole,12,33
Herring,8,25
Herring,3,25
Herring,4,25
Herring,5,25
Herring,6,25
Herring,7,26
Herring,11,27
Herring,9,26
Herring,10,26
Herring,2,25
Herring,12,28
Herring,13,29
Herring,1,24
Haddock,4,53
Haddock,3,49
Haddock,7,64
Haddock,8,62
Haddock,6,67
Haddock,2,42
Haddock,1,32
Haddock,5,62
Mackerel,4,34
Mackerel,8,36
Mackerel,5,36
Mackerel,3,32
Mackerel,1,29
Mackerel,2,30
Mackerel,12,39
Mackerel,6,35
Mackerel,7,34
Plaice,20,53
Plaice,14,48
Plaice,13,45
Plaice,17,53
Plaice,16,52
Plaice,19,37
Plaice,18,53
Plaice,10,41
Plaice,11,40
Plaice,8,40
Plaice,1,29
Plaice,6,40
Plaice,12,43
Plaice,5,38
Plaice,9,40
Plaice,7,40
Plaice,2,34
Plaice,15,48
Plaice,4,38
Plaice,3,36
Plaice,27,52
Sole,3,30
Sole,10,37
Sole,11,31
Sole,12,38
Sole,9,33
Sole,8,37
Sole,4,32
Sole,21,37
Sole,17,37
Sole,14,38
Sole,13,35
Sole,2,30
Sole,7,37
Sole,6,35
Sole,5,34
Whiting,4,42
Whiting,2,38
Whiting,1,32
Whiting,6,54
Whiting,3,42
Whiting,5,46
Mackerel,2,28
Mackerel,0,19
Mackerel,3,32
Mackerel,1,25
Mackerel,8,34
Mackerel,5,36
Mackerel,6,35
Mackerel,4,34
Mackerel,7,34
Plaice,16,50
Plaice,11,40
Plaice,10,41
Plaice,5,40
Plaice,4,39
Plaice,2,34
Plaice,9,40
Plaice,8,40
Plaice,7,40
Plaice,6,40
Plaice,1,29
Plaice,3,36
Plaice,27,52
Plaice,18,50
Plaice,19,37
Plaice,20,51
Plaice,21,51
Plaice,15,47
Plaice,17,50
Plaice,14,46
Plaice,13,45
Plaice,12,43
Sole,16,47
Sole,19,47
Sole,27,47
Sole,7,39
Sole,3,29
Sole,20,47
Sole,2,27
Sole,28,47
Sole,29,47
Sole,14,42
Sole,17,42
Sole,13,42
Sole,12,41
Sole,10,41
Sole,6,37
Sole,9,42
Sole,8,40
Sole,11,40
Sole,24,47
Sole,25,47
Sole,15,47
Sole,4,30
Sole,5,32
Sole,18,47
Sole,21,43
Sole,22,47
Sole,23,47
Sole,31,47
Sole,30,47
Sole,38,47
Sole,26,47
Whiting,2,38
Whiting,1,32
Whiting,3,41
Whiting,6,51
Whiting,5,45
Whiting,4,41
Plaice,27,52
Plaice,13,46
Plaice,12,45
Plaice,16,51
Plaice,15,50
Plaice,10,43
Plaice,11,42
Plaice,14,50
Plaice,25,56
Plaice,22,56
Plaice,20,53
Plaice,1,28
Plaice,2,33
Plaice,9,42
Plaice,3,35
Plaice,4,38
Plaice,8,42
Plaice,21,54
Plaice,18,52
Plaice,7,41
Plaice,5,39
Plaice,6,40
Plaice,19,50
Plaice,17,52
Sole,10,42
Sole,9,40
Sole,18,47
Sole,4,30
Sole,2,27
Sole,3,28
Sole,15,47
Sole,30,47
Sole,14,41
Sole,27,47
Sole,28,47
Sole,29,47
Sole,26,47
Sole,16,47
Sole,5,32
Sole,25,47
Sole,24,47
Sole,23,47
Sole,22,47
Sole,21,42
Sole,20,47
Sole,19,47
Sole,8,40
Sole,7,39
Sole,6,36
Sole,13,39
Sole,12,39
Sole,38,47
Sole,31,47
Sole,17,40
Sole,11,38
Whiting,2,36
Whiting,5,43
Whiting,4,40
Whiting,3,40
Whiting,1,31
Whiting,6,48
Cod,3,64
Cod,5,96
Cod,1,45
Cod,2,59
Haddock,5,61
Haddock,4,52
Haddock,6,66
Haddock,1,36
Haddock,2,40
Haddock,3,48
Haddock,7,63
Haddock,8,62
Plaice,11,44
Plaice,7,43
Plaice,6,41
Plaice,8,44
Plaice,4,38
Plaice,20,53
Plaice,5,40
Plaice,18,54
Plaice,3,35
Plaice,2,33
Plaice,1,28
Plaice,26,58
Plaice,25,56
Plaice,22,58
Plaice,12,47
Plaice,13,49
Plaice,14,53
Plaice,15,52
Plaice,16,54
Plaice,17,54
Plaice,19,53
Plaice,9,44
Plaice,10,45
Plaice,27,52
Plaice,21,56
Sole,13,44
Sole,8,40
Sole,9,42
Sole,10,44
Sole,11,43
Sole,12,43
Sole,15,49
Sole,16,49
Sole,17,45
Sole,3,28
Sole,14,45
Sole,30,48
Sole,31,50
Sole,32,50
Sole,25,49
Sole,26,49
Sole,27,49
Sole,29,47
Sole,36,50
Sole,38,47
Sole,28,49
Sole,18,49
Sole,19,49
Sole,20,49
Sole,21,46
Sole,22,49
Sole,23,49
Sole,24,49
Sole,2,27
Sole,4,30
Sole,5,32
Sole,6,38
Sole,7,39
Whiting,1,31
Whiting,2,37
Whiting,4,40
Whiting,3,40
Whiting,6,48
Whiting,5,43
Cod,3,69
Cod,4,83
Cod,2,63
Cod,1,45
Haddock,5,52
Haddock,3,40
Haddock,2,36
Haddock,4,47
Haddock,6,62
Haddock,7,57
Whiting,4,40
Whiting,2,35
Whiting,1,30
Whiting,3,39
Whiting,6,45
Cod,3,65
Cod,1,43
Cod,2,61
Mackerel,6,36
Mackerel,8,35
Mackerel,9,38
Mackerel,10,37
Mackerel,13,41
Mackerel,2,28
Mackerel,11,39
Mackerel,3,30
Mackerel,1,25
Mackerel,7,36
Mackerel,0,26
Mackerel,12,38
Mackerel,5,33
Mackerel,4,32
Plaice,11,36
Plaice,6,34
Plaice,16,38
Plaice,14,34
Plaice,13,39
Plaice,12,36
Plaice,4,34
Plaice,5,34
Plaice,9,34
Plaice,8,34
Plaice,7,34
Plaice,2,32
Plaice,1,29
Plaice,10,35
Plaice,3,33
Sole,14,34
Sole,15,34
Sole,18,34
Sole,7,32
Sole,3,28
Sole,2,24
Sole,9,34
Sole,8,33
Sole,13,34
Sole,5,30
Sole,12,38
Sole,11,34
Sole,4,31
Sole,17,34
Sole,10,34
Sole,20,35
Sole,6,34
Cod,3,73
Cod,7,110
Cod,2,64
Cod,4,87
Plaice,3,33
Plaice,10,39
Plaice,7,37
Plaice,6,36
Plaice,8,38
Plaice,2,32
Plaice,1,29
Plaice,11,40
Plaice,12,42
Plaice,4,36
Plaice,5,37
Plaice,13,45
Plaice,9,37
Plaice,14,41
Plaice,15,42
Plaice,16,38
Sole,5,36
Sole,23,46
Sole,12,42
Sole,13,42
Sole,14,42
Sole,24,45
Sole,25,46
Sole,27,43
Sole,18,42
Sole,15,42
Sole,16,43
Sole,17,42
Sole,8,41
Sole,9,42
Sole,10,42
Sole,11,41
Sole,31,43
Sole,21,43
Sole,3,28
Sole,19,43
Sole,20,42
Sole,22,43
Sole,7,38
Sole,4,36
Sole,6,39
Haddock,6,55
Haddock,7,60
Haddock,10,63
Haddock,5,50
Haddock,2,44
Haddock,3,52
Haddock,4,50
Cod,2,61
Cod,4,87
Cod,3,79
Cod,1,40
Haddock,1,31
Haddock,10,62
Haddock,7,59
Haddock,6,53
Haddock,4,48
Haddock,5,48
Haddock,3,43
Haddock,2,37
Plaice,6,38
Plaice,1,26
Plaice,3,34
Plaice,16,52
Plaice,4,35
Plaice,5,37
Plaice,7,40
Plaice,8,40
Plaice,9,42
Plaice,10,42
Plaice,11,44
Plaice,12,46
Plaice,13,47
Plaice,14,48
Plaice,15,48
Plaice,2,31
Sole,6,37
Sole,11,39
Sole,10,39
Sole,7,36
Sole,8,39
Sole,14,39
Sole,15,41
Sole,16,40
Sole,17,41
Sole,18,42
Sole,19,42
Sole,20,41
Sole,21,41
Sole,22,40
Sole,24,41
Sole,25,44
Sole,27,43
Sole,32,43
Sole,13,39
Sole,5,37
Sole,2,25
Sole,3,30
Sole,4,32
Sole,9,39
Sole,12,39
Whiting,8,32
Whiting,1,29
Whiting,2,32
Whiting,9,32
Whiting,6,32
Whiting,3,31
Whiting,4,30
Whiting,5,30
Whiting,7,30
Haddock,6,64
Haddock,7,60
Haddock,2,48
Haddock,3,50
Haddock,4,57
Haddock,5,59
Sole,6,36
Sole,7,35
Sole,11,36
Sole,10,36
Sole,9,36
Sole,25,38
Sole,21,39
Sole,18,38
Sole,17,39
Sole,16,39
Sole,15,38
Sole,14,36
Sole,13,36
Sole,12,36
Sole,3,36
Sole,4,34
Sole,5,34
Sole,8,36
Whiting,5,57
Whiting,6,52
Whiting,4,51
Whiting,8,49
Whiting,7,57
Whiting,3,46
Whiting,2,42
Cod,5,97
Cod,3,71
Cod,2,65
Plaice,2,31
Plaice,1,26
Plaice,17,50
Plaice,13,48
Plaice,15,54
Plaice,8,42
Plaice,7,42
Plaice,6,40
Plaice,5,38
Plaice,4,36
Plaice,9,44
Plaice,3,34
Plaice,10,45
Plaice,11,47
Plaice,12,47
Plaice,16,53
Plaice,14,51
Sole,24,47
Sole,13,43
Sole,14,43
Sole,2,25
Sole,3,34
Sole,4,34
Sole,5,37
Sole,6,42
Sole,7,38
Sole,8,41
Sole,9,42
Sole,10,41
Sole,11,42
Sole,12,42
Sole,26,46
Sole,27,47
Sole,15,44
Sole,16,45
Sole,17,45
Sole,18,44
Sole,19,46
Sole,20,45
Sole,21,45
Sole,22,47
Sole,23,47
Sole,25,43
Sole,30,47
Sole,35,50
Sole,28,47
Sole,29,47
